Primary_building_code,Borough_block_lot
R039,5030970014.0
R040,5000730064.0
R041,5036450007.0
R042,5056050001.0
R043,5024500320.0
R044,5012180001.0
R045,5002760007.0
R046,5032430001.0
R048,5031710001.0
R049,5005560080.0
R050,5047160060.0
R051,5014780500.0
R052,5037050001.0
R053,5051060001.0
R054,5019870104.0
R055,5053360001.0
R056,5070440001.0
R057,5028880040.0
R058,5024500305.0
R059,5000140032.0
R060,5015800044.0
R061,5001000100.0
R062,5070920039.0
R066,5010650007.0
R069,5023660073.0
R071,5031680004.0
R072,5023640001.0
R075,5060500002.0
R435,5039300010.0
R440,5042440001.0
R445,5011210001.0
R450,5000220001.0
R455,5066130001.0
R460,5009550100.0
R470,5028850001.0
R600,5000190004.0
R722,5005340075.0
R825,5076640001.0
R829,5005060081.0
R831,5000180006.0
R840,5045860001.0
R861,5016530001.0
R880,5006830001.0
RAAK,5055200145.0
RABX,5010840062.0
RACM,5005170030.0
RAHR,5021650200.0
RAKJ,5015600015.0
U001,0.0
X001,2024110119.0
X002,2029250056.0
X003,2030620043.0
X004,2029300075.0
X005,2026420001.0
X006,2030050010.0
X007,2057560195.0
X008,2032990060.0
X009,2031500010.0
X011,2025290081.0
X012,2039830001.0
X014,2053130092.0
X015,2032240009.0
X016,2050760031.0
X018,2023240008.0
X019,2033860001.0
X020,2033300001.0
X021,2048390039.0
X022,2024380050.0
X023,2030370079.0
X024,2059170140.0
X025,2026640001.0
X026,2032160002.0
X027,2022740023.0
X028,2028040031.0
X029,2024030001.0
X030,2022670015.0
X032,2030850001.0
X033,2031880020.0
X034,2031000014.0
X035,2024460043.0
X036,2038170001.0
X037,2057160725.0
X039,2027100001.0
X040,2022840034.0
X041,2046240015.0
X042,2029030023.0
X043,2022800040.0
X044,2029490064.0
X045,2030670001.0
X046,2032950001.0
X047,2037860016.0
X048,2027660001.0
X049,2023020040.0
X050,2029960010.0
X052,2026860020.0
X053,2024350075.0
X054,2032780014.0
X055,2029020001.0
X056,2033510001.0
X057,2030810026.0
X058,2029090032.0
X059,2030490037.0
X060,2026960085.0
X061,2029390045.0
X062,2026830065.0
X063,2026150014.0
X064,2028430040.0
X065,2025710001.0
X066,2030080001.0
X067,2031230003.0
X068,2049860081.0
X069,2035240020.0
X070,2027930028.0
X071,2041710001.0
X072,2054400001.0
X073,2025040082.0
X074,2027630279.0
X075,2027470001.0
X076,2045520010.0
X077,2037750025.0
X078,2047190001.0
X079,2031700001.0
X080,2033360035.0
X081,2058501550.0
X082,2028660070.0
X083,2041250001.0
X084,2030070008.0
X085,2030240021.0
X086,2032470070.0
X087,2050180001.0
X088,2028300017.0
X089,2044440016.0
X090,2024560100.0
X091,2032080001.0
X092,2030920014.0
X093,2036520001.0
X094,2033560036.0
X095,2032520182.0
X096,2043410013.0
X097,2044740001.0
X098,2029390093.0
X099,2026920014.0
X100,2036410001.0
X101,2055470001.0
X102,2039210030.0
X103,2048230001.0
X104,2028730027.0
X105,2042880001.0
X106,2039460007.0
X107,2035910050.0
X108,2042750001.0
X109,2028770393.0
X110,2029320001.0
X111,2049160001.0
X112,2049050500.0
X113,2046750020.0
X114,2024950100.0
X115,2031720046.0
X116,2027140004.0
X117,2028270001.0
X118,2030690001.0
X119,2037890021.0
X120,2026310048.0
X121,2045260001.0
X122,2032390041.0
X123,2037180001.0
X125,2037900040.0
X126,2025260083.0
X127,2039480055.0
X129,2031090001.0
X130,2026880001.0
X131,2036440001.0
X132,2023900001.0
X134,2029650082.0
X135,2044320001.0
X136,2029690001.0
X137,2031430043.0
X138,2036090016.0
X139,2022860036.0
X140,2026270009.0
X141,2059180376.0
X142,2049350001.0
X143,2032530141.0
X144,2044930001.0
X145,2024240001.0
X146,2026320027.0
X147,2028970005.0
X148,2029250001.0
X149,2023060054.0
X150,2027170005.0
X151,2024430190.0
X152,2037110001.0
X153,2051410150.0
X154,2022980001.0
X155,2025780027.0
X156,2024430079.0
X157,2026250001.0
X158,2026710011.0
X159,2030380065.0
X160,2051350200.0
X161,2026640029.0
X162,2026160001.0
X163,2031420048.0
X166,2024460043.0
X167,2030210038.0
X169,2048940001.0
X170,2028470041.0
X173,2028510021.0
X174,2034780018.0
X175,2056410280.0
X177,2033530040.0
X178,2051410150.0
X180,2051410150.0
X181,2051410150.0
X182,2035640001.0
X183,2023330070.0
X184,2026550030.0
X189,2052630192.0
X192,2054380001.0
X193,2029510032.0
X194,2038340070.0
X198,2026720001.0
X205,2031150021.0
X206,2032090001.0
X209,2031460075.0
X211,2030610055.0
X229,2028820130.0
X234,2031090001.0
X235,2024800008.0
X240,2028590077.0
X254,2030580003.0
X256,2023730014.0
X279,2031780014.0
X283,2030337501.0
X285,2025270032.0
X292,2042930031.0
X306,2028620014.0
X311,2040370001.0
X314,2050800001.0
X317,2037330005.0
X338,2028660070.0
X340,2032470015.0
X358,2029750037.0
X360,2032530341.0
X362,2048640035.0
X368,2057160725.0
X392,2027230033.0
X400,2026340001.0
X401,2026980012.0
X405,2053680001.0
X410,2028170002.0
X415,2043580001.0
X420,2038640001.0
X423,2038640001.0
X425,2046330040.0
X430,2032470070.0
X435,2030590001.0
X440,2032510201.0
X445,2032510201.0
X450,2036040039.0
X455,2051410150.0
X460,2024450006.0
X465,2029230018.0
X470,2023590240.0
X475,1022150080.0
X498,2040910001.0
X600,2024110022.0
X650,2026680001.0
X655,2025760026.0
X660,2031040007.0
X701,2052630070.0
X716,2026990045.0
X717,2028950068.0
X722,2041330200.0
X779,2032500073.0
X781,2030840001.0
X790,2024430078.0
X819,2057010105.0
X826,2032220100.0
X839,2042900048.0
X843,2031680027.0
X852,2033290124.0
X859,2031860049.0
X862,2026150014.0
X876,2028980001.0
X878,2030130001.0
X879,2040060003.0
X884,2023440096.0
X886,2032480062.0
X905,2032460002.0
X937,2049160001.0
X953,2055310021.0
X970,2029130001.0
X972,2036220018.0
X973,2029830015.0
XAAI,2030850030.0
XAAV,2024430053.0
XABC,2028560029.0
XABN,2028680111.0
XACO,2040520007.0
XADS,2022980101.0
XADW,2030430050.0
XAEF,2048260043.0
XAEJ,2022890075.0
XAEU,2023600080.0
XAEX,2022930078.0
XAFI,0.0
XAFJ,0.0
XAFM,2027550125.0
XAFP,2029290008.0
XAFR,2022880007.0
XAGA,2042220005.0
XAGG,2055420001.0
XAGV,2023140054.0
XAJG,2024660011.0
XAJK,2039300038.0
XAQI,2023260023.0
XASJ,0.0
XASK,0.0
XATI,0.0
XAUT,0.0
XAUV,0.0
XAWW,0.0
XAXD,0.0
XAXQ,0.0
XAZI,0.0
XBAA,0.0
XBAV,2023440110.0
XBAY,2037107501.0
XBBM,2026760003.0
XBBX,2026230211.0
XBBY,2026570003.0
XBBZ,2026090002.0
XBCA,2023480005.0
XBPP,2025740082.0
XBPS,2027610030.0
XBPV,2035620061.0
